layer,geoid,topic,stratification,period,value
Zip code,54106,FVDEYLCV,ECO1,2023-2024,120
Zip code,54106,FVDEYLCV,EL1,2023-2024,5
Zip code,54106,FVDEYLCV,ENG3,2023-2024,343
Zip code,54106,FVDEYLCV,FEM3,2023-2024,167
Zip code,54106,FVDEYLCV,H,2023-2024,13
Zip code,54106,FVDEYLCV,K41,2023-2024,18
Zip code,54106,FVDEYLCV,KIN2,2023-2024,34
Zip code,54106,FVDEYLCV,MAL15,2023-2024,181
Zip code,54106,FVDEYLCV,NOT2,2023-2024,302
Zip code,54106,FVDEYLCV,NOT3,2023-2024,228
Zip code,54106,FVDEYLCV,NOT4,2023-2024,348
Zip code,54106,FVDEYLCV,P,2023-2024,5
Zip code,54106,FVDEYLCV,PK1,2023-2024,3
Zip code,54106,FVDEYLCV,Q,2023-2024,9
Zip code,54106,FVDEYLCV,SPE3,2023-2024,23
Zip code,54106,FVDEYLCV,SWD1,2023-2024,46
Zip code,54106,FVDEYLCV,SWO1,2023-2024,302
Zip code,54106,FVDEYLCV,W,2023-2024,310
Zip code,54106,FVDEYLCV,X1S2,2023-2024,31
Zip code,54106,FVDEYLCV,X2N2,2023-2024,33
Zip code,54106,FVDEYLCV,X3R2,2023-2024,40
Zip code,54106,FVDEYLCV,X4T2,2023-2024,42
Zip code,54106,FVDEYLCV,X5T3,2023-2024,36
Zip code,54106,FVDEYLCV,X6T3,2023-2024,42
Zip code,54106,FVDEYLCV,X7T2,2023-2024,40
Zip code,54106,FVDEYLCV,X8T2,2023-2024,29
Zip code,54110,FVDEYLCV,,2023-2024,928
Zip code,54110,FVDEYLCV,A,2023-2024,5
Zip code,54110,FVDEYLCV,AUT2,2023-2024,8
Zip code,54110,FVDEYLCV,B,2023-2024,13
Zip code,54110,FVDEYLCV,ECO1,2023-2024,310
Zip code,54110,FVDEYLCV,EL1,2023-2024,56
Zip code,54110,FVDEYLCV,EMO1,2023-2024,7
Zip code,54110,FVDEYLCV,ENG3,2023-2024,872
Zip code,54110,FVDEYLCV,FEM3,2023-2024,429
Zip code,54110,FVDEYLCV,H,2023-2024,115
Zip code,54110,FVDEYLCV,K41,2023-2024,50
Zip code,54110,FVDEYLCV,KIN2,2023-2024,47
Zip code,54110,FVDEYLCV,MAL15,2023-2024,499
