layer,geoid,topic,stratification,period,value
City or town,5514475,FVDEYLCV,X4T2,2019-2020,91
City or town,5514475,FVDEYLCV,K41,2019-2020,48
City or town,5514475,FVDEYLCV,KIN2,2019-2020,64
City or town,5514475,FVDEYLCV,PK1,2019-2020,9
City or town,5514475,FVDEYLCV,NOT4,2019-2020,1129
City or town,5514475,FVDEYLCV,B,2019-2020,10
City or town,5514475,FVDEYLCV,H,2019-2020,179
City or town,5514475,FVDEYLCV,P1,2019-2020,3
City or town,5514475,FVDEYLCV,Q,2019-2020,24
City or town,5514475,FVDEYLCV,W,2019-2020,908
City or town,5514475,FVDEYLCV,OTH52,2019-2020,34
City or town,5514475,FVDEYLCV,SPE2,2019-2020,27
City or town,5514475,FVDEYLCV,X1012,2019-2020,91
City or town,5514475,FVDEYLCV,X113,2019-2020,92
City or town,5514475,FVDEYLCV,X1210,2019-2020,96
City or town,5514475,FVDEYLCV,X9T3,2019-2020,95
City or town,5514475,FVDEYLCV,P,2019-2020,3
City or town,5514475,FVDEYLCV,A,2019-2020,2
City or town,5514475,FVDEYLCV,X5T3,2019-2020,84
City or town,5514475,FVDEYLCV,X6T3,2019-2020,80
City or town,5514475,FVDEYLCV,X7T2,2019-2020,100
City or town,5514475,FVDEYLCV,X8T2,2019-2020,92
City or town,5534575,FVDEYLCV,,2019-2020,473
City or town,5534575,FVDEYLCV,NOT2,2019-2020,411
City or town,5534575,FVDEYLCV,SIG1,2019-2020,8
City or town,5534575,FVDEYLCV,SPE3,2019-2020,14
City or town,5534575,FVDEYLCV,SWD1,2019-2020,62
City or town,5534575,FVDEYLCV,SWO1,2019-2020,411
City or town,5534575,FVDEYLCV,ECO1,2019-2020,148
City or town,5534575,FVDEYLCV,NOT3,2019-2020,325
City or town,5534575,FVDEYLCV,EL1,2019-2020,54
City or town,5534575,FVDEYLCV,ENG3,2019-2020,419
City or town,5534575,FVDEYLCV,FEM3,2019-2020,198
City or town,5534575,FVDEYLCV,MAL15,2019-2020,275
City or town,5534575,FVDEYLCV,X1S2,2019-2020,22
City or town,5534575,FVDEYLCV,X2N2,2019-2020,31
City or town,5534575,FVDEYLCV,X3R2,2019-2020,34
City or town,5534575,FVDEYLCV,X4T2,2019-2020,29
City or town,5534575,FVDEYLCV,K41,2019-2020,25
City or town,5534575,FVDEYLCV,KIN2,2019-2020,32
City or town,5534575,FVDEYLCV,PK1,2019-2020,2
City or town,5534575,FVDEYLCV,NOT4,2019-2020,473
City or town,5534575,FVDEYLCV,A,2019-2020,3
City or town,5534575,FVDEYLCV,H,2019-2020,81
City or town,5534575,FVDEYLCV,Q,2019-2020,5
City or town,5534575,FVDEYLCV,W,2019-2020,380
City or town,5534575,FVDEYLCV,SPE2,2019-2020,14
City or town,5534575,FVDEYLCV,X1012,2019-2020,35
City or town,5534575,FVDEYLCV,X113,2019-2020,38
City or town,5534575,FVDEYLCV,X1210,2019-2020,43
City or town,5534575,FVDEYLCV,X9T3,2019-2020,50
City or town,5534575,FVDEYLCV,P,2019-2020,1
City or town,5534575,FVDEYLCV,X5T3,2019-2020,38
City or town,5534575,FVDEYLCV,X6T3,2019-2020,37
City or town,5534575,FVDEYLCV,X7T2,2019-2020,32
City or town,5534575,FVDEYLCV,X8T2,2019-2020,25
City or town,5534575,FVDEYLCV,B,2019-2020,3
City or town,5535850,FVDEYLCV,,2019-2020,2282
City or town,5535850,FVDEYLCV,ECO1,2019-2020,412
City or town,5535850,FVDEYLCV,NOT3,2019-2020,1870
City or town,5535850,FVDEYLCV,ENG3,2019-2020,2254
City or town,5535850,FVDEYLCV,FEM3,2019-2020,1078
City or town,5535850,FVDEYLCV,MAL15,2019-2020,1204
City or town,5535850,FVDEYLCV,X6T3,2019-2020,132
City or town,5535850,FVDEYLCV,X7T2,2019-2020,153
City or town,5535850,FVDEYLCV,X8T2,2019-2020,157
City or town,5535850,FVDEYLCV,NOT4,2019-2020,2282
City or town,5535850,FVDEYLCV,A,2019-2020,37
City or town,5535850,FVDEYLCV,B,2019-2020,24
City or town,5535850,FVDEYLCV,H,2019-2020,92
City or town,5535850,FVDEYLCV,W,2019-2020,2067
City or town,5535850,FVDEYLCV,AUT2,2019-2020,40
City or town,5535850,FVDEYLCV,EMO1,2019-2020,46
City or town,5535850,FVDEYLCV,NOT2,2019-2020,1920
City or town,5535850,FVDEYLCV,SIG1,2019-2020,30
City or town,5535850,FVDEYLCV,SPE3,2019-2020,36
City or town,5535850,FVDEYLCV,SWD1,2019-2020,302
City or town,5535850,FVDEYLCV,SWO1,2019-2020,1920
City or town,5535850,FVDEYLCV,EL1,2019-2020,28
City or town,5535850,FVDEYLCV,X1S2,2019-2020,80
City or town,5535850,FVDEYLCV,X2N2,2019-2020,87
City or town,5535850,FVDEYLCV,X3R2,2019-2020,108
City or town,5535850,FVDEYLCV,X4T2,2019-2020,101
City or town,5535850,FVDEYLCV,K41,2019-2020,87
City or town,5535850,FVDEYLCV,KIN2,2019-2020,83
City or town,5535850,FVDEYLCV,PK1,2019-2020,10
City or town,5535850,FVDEYLCV,P,2019-2020,6
City or town,5535850,FVDEYLCV,Q,2019-2020,56
City or town,5535850,FVDEYLCV,OTH52,2019-2020,35
City or town,5535850,FVDEYLCV,SPE2,2019-2020,82
City or town,5535850,FVDEYLCV,X1012,2019-2020,311
City or town,5535850,FVDEYLCV,X113,2019-2020,315
City or town,5535850,FVDEYLCV,X1210,2019-2020,271
City or town,5535850,FVDEYLCV,X9T3,2019-2020,254
City or town,5535850,FVDEYLCV,X5T3,2019-2020,133
City or town,5538800,FVDEYLCV,,2019-2020,3936
City or town,5538800,FVDEYLCV,AUT2,2019-2020,58
City or town,5538800,FVDEYLCV,NOT2,2019-2020,3339
City or town,5538800,FVDEYLCV,SIG1,2019-2020,54
City or town,5538800,FVDEYLCV,SPE3,2019-2020,141
City or town,5538800,FVDEYLCV,SWD1,2019-2020,597
City or town,5538800,FVDEYLCV,SWO1,2019-2020,3339
City or town,5538800,FVDEYLCV,ECO1,2019-2020,1078
City or town,5538800,FVDEYLCV,NOT3,2019-2020,2858
City or town,5538800,FVDEYLCV,EL1,2019-2020,134
City or town,5538800,FVDEYLCV,ENG3,2019-2020,3802
City or town,5538800,FVDEYLCV,FEM3,2019-2020,1867
City or town,5538800,FVDEYLCV,MAL15,2019-2020,2069
City or town,5538800,FVDEYLCV,X1S2,2019-2020,242
City or town,5538800,FVDEYLCV,K41,2019-2020,254
City or town,5538800,FVDEYLCV,KIN2,2019-2020,288
City or town,5538800,FVDEYLCV,PK1,2019-2020,29
City or town,5538800,FVDEYLCV,NOT4,2019-2020,3936
City or town,5538800,FVDEYLCV,P,2019-2020,4
City or town,5538800,FVDEYLCV,A,2019-2020,78
City or town,5538800,FVDEYLCV,B,2019-2020,56
City or town,5538800,FVDEYLCV,H,2019-2020,237
City or town,5538800,FVDEYLCV,Q,2019-2020,167
City or town,5538800,FVDEYLCV,W,2019-2020,3394
City or town,5538800,FVDEYLCV,SPE2,2019-2020,107
City or town,5538800,FVDEYLCV,X2N2,2019-2020,268
City or town,5538800,FVDEYLCV,X3R2,2019-2020,287
City or town,5538800,FVDEYLCV,X4T2,2019-2020,234
City or town,5538800,FVDEYLCV,EMO1,2019-2020,43
City or town,5538800,FVDEYLCV,INT7,2019-2020,26
City or town,5538800,FVDEYLCV,OTH52,2019-2020,89
City or town,5538800,FVDEYLCV,X1012,2019-2020,270
City or town,5538800,FVDEYLCV,X113,2019-2020,291
City or town,5538800,FVDEYLCV,X1210,2019-2020,307
City or town,5538800,FVDEYLCV,X9T3,2019-2020,302
City or town,5538800,FVDEYLCV,X5T3,2019-2020,282
City or town,5538800,FVDEYLCV,X6T3,2019-2020,269
City or town,5538800,FVDEYLCV,X7T2,2019-2020,299
City or town,5538800,FVDEYLCV,X8T2,2019-2020,314
City or town,5539650,FVDEYLCV,,2019-2020,3577
